id,scam_type,message,description,language,target_info_requested,medium
2797,Friend in Distress Scam,"Hey, it's Khushi. I'm stuck in Nandyal and need ₹8506 urgently. Can you UPI me?",Impersonators pretend to be friends in trouble and ask for emergency funds via UPI or bank transfer.,English,UPI transfer,WhatsApp
2798,Cryptocurrency Investment Scam,Invest ₹94983 in our crypto plan and get ₹88727 in a week. Limited slots!,"Victims are lured with promises of high returns on crypto investments, but the scammers vanish with the money.",English,Initial investment,WhatsApp
2799,Phishing Scam (Link Sharing),Your ICICI account is at risk. Click here to verify your info: http://bajaj-kunda.com,Phishing links mimic legitimate websites and trick users into submitting sensitive data.,English,Bank login credentials,WhatsApp
2800,Fake Technical Support Scam,This is Kashvi from Bhakta-Kothari Support. Your device has malware. Please install TeamViewer and share the code.,Scammers pose as tech support agents to gain remote access and demand payment after pretending to 'fix' fake issues.,English,"Remote access, payment",WhatsApp
2801,Fake Discount/Refund Scam,You are eligible for a ₹48977 refund from Gera and Sons. Please share your bank details to process it.,Scammers impersonate companies and request bank details to 'process' fake refunds.,English,Bank details,WhatsApp
2802,Fake Job Offer Scam,"Hi, this is Purab from HR at Som and Sons. You've been shortlisted for a remote role. Pay ₹770 as a registration fee.",Fraudsters pretend to be from well-known companies and ask for money upfront for fake jobs.,English,Payment for registration,WhatsApp
2803,Fake Discount/Refund Scam,You are eligible for a ₹90372 refund from Sood PLC. Please share your bank details to process it.,Scammers impersonate companies and request bank details to 'process' fake refunds.,English,Bank details,WhatsApp
2804,Phishing Scam (Link Sharing),Your SBI account is at risk. Click here to verify your info: http://saxena.com,Phishing links mimic legitimate websites and trick users into submitting sensitive data.,English,Bank login credentials,WhatsApp
2805,WhatsApp Lottery/Prize Scam,"Congratulations! You've won ₹27521 in the WhatsApp Mega Draw. To claim, send your full name, bank account number, and Aadhaar to +912372468906.",Victims receive fake prize messages and are asked for personal or banking info to claim the prize.,English,"Bank details, Aadhaar card",WhatsApp
2806,Fake Charity/Donation Scam,We're raising funds for flood victims in Jharkhand. Please donate what you can to UPI ID: ahana-15@upi,Scammers impersonate charities and request urgent donations via UPI or bank transfer.,English,Donation via UPI,WhatsApp
2807,Fake Technical Support Scam,"This is Saira from Dar, Wali and Kamdar Support. Your device has malware. Please install TeamViewer and share the code.",Scammers pose as tech support agents to gain remote access and demand payment after pretending to 'fix' fake issues.,English,"Remote access, payment",WhatsApp
2808,Fake E-commerce Scam,Get iPhone 13 for just ₹35612. DM on WhatsApp to order now. Prepay to confirm.,"Fraudsters advertise too-good-to-be-true deals, take money, and disappear or send fake products.",English,Online payment,WhatsApp
2809,Friend in Distress Scam,"Hey, it's Aayush. I'm stuck in Farrukhabad and need ₹32958 urgently. Can you UPI me?",Impersonators pretend to be friends in trouble and ask for emergency funds via UPI or bank transfer.,English,UPI transfer,WhatsApp
2810,Cryptocurrency Investment Scam,Invest ₹3736 in our crypto plan and get ₹67045 in a week. Limited slots!,"Victims are lured with promises of high returns on crypto investments, but the scammers vanish with the money.",English,Initial investment,WhatsApp
2811,Tax Refund Scam,Your tax refund of ₹44737 is ready. Click here to verify your info: http://mann-badami.com,Fraudsters impersonate tax authorities and request personal details or payments to process fake refunds.,English,"Bank details, OTP",WhatsApp
2812,Fake E-commerce Scam,Get Smartwatch for just ₹41144. DM on WhatsApp to order now. Prepay to confirm.,"Fraudsters advertise too-good-to-be-true deals, take money, and disappear or send fake products.",English,Online payment,WhatsApp
2813,Phishing Scam (Link Sharing),Your SBI account is at risk. Click here to verify your info: http://doctor.net,Phishing links mimic legitimate websites and trick users into submitting sensitive data.,English,Bank login credentials,WhatsApp
2814,Fake Discount/Refund Scam,You are eligible for a ₹24516 refund from Jha Ltd. Please share your bank details to process it.,Scammers impersonate companies and request bank details to 'process' fake refunds.,English,Bank details,WhatsApp
2815,Phishing Scam (Link Sharing),Your Axis account is at risk. Click here to verify your info: http://sachar.com,Phishing links mimic legitimate websites and trick users into submitting sensitive data.,English,Bank login credentials,WhatsApp
2816,Fake Charity/Donation Scam,We're raising funds for flood victims in Gujarat. Please donate what you can to UPI ID: rohan28@upi,Scammers impersonate charities and request urgent donations via UPI or bank transfer.,English,Donation via UPI,WhatsApp
2817,Fake Job Offer Scam,"Hi, this is Vaibhav from HR at Suri, Das and Agrawal. You've been shortlisted for a remote role. Pay ₹672 as a registration fee.",Fraudsters pretend to be from well-known companies and ask for money upfront for fake jobs.,English,Payment for registration,WhatsApp
2818,Tax Refund Scam,Your tax refund of ₹83549 is ready. Click here to verify your info: http://goswami.biz,Fraudsters impersonate tax authorities and request personal details or payments to process fake refunds.,English,"Bank details, OTP",WhatsApp
2819,WhatsApp Account Hacking Scam,"Hey, this is Pihu. I accidentally sent my OTP to your number. Can you send it to me quickly?",A scammer pretends to be a friend and tricks victims into sharing the OTP meant to hijack their WhatsApp account.,English,OTP,WhatsApp
2820,UPI Scam,"Your SBI account is blocked. To unblock, pay ₹45203 to UPI ID: adira87@upi.",Scammers impersonate banks and urge victims to make fake urgent payments via UPI.,English,UPI payment,WhatsApp
2821,Fake Job Offer Scam,"Hi, this is Nayantara from HR at Bassi, Kala and Srinivasan. You've been shortlisted for a remote role. Pay ₹944 as a registration fee.",Fraudsters pretend to be from well-known companies and ask for money upfront for fake jobs.,English,Payment for registration,WhatsApp
2822,Fake Job Offer Scam,"Hi, this is Jayesh from HR at Sant and Sons. You've been shortlisted for a remote role. Pay ₹405 as a registration fee.",Fraudsters pretend to be from well-known companies and ask for money upfront for fake jobs.,English,Payment for registration,WhatsApp
2823,Fake Job Offer Scam,"Hi, this is Ritvik from HR at Roy Inc. You've been shortlisted for a remote role. Pay ₹617 as a registration fee.",Fraudsters pretend to be from well-known companies and ask for money upfront for fake jobs.,English,Payment for registration,WhatsApp
2824,WhatsApp Account Hacking Scam,"Hey, this is Hansh. I accidentally sent my OTP to your number. Can you send it to me quickly?",A scammer pretends to be a friend and tricks victims into sharing the OTP meant to hijack their WhatsApp account.,English,OTP,WhatsApp
2825,Friend in Distress Scam,"Hey, it's Raghav. I'm stuck in Tumkur and need ₹43078 urgently. Can you UPI me?",Impersonators pretend to be friends in trouble and ask for emergency funds via UPI or bank transfer.,English,UPI transfer,WhatsApp
2826,WhatsApp Account Hacking Scam,"Hey, this is Tara. I accidentally sent my OTP to your number. Can you send it to me quickly?",A scammer pretends to be a friend and tricks victims into sharing the OTP meant to hijack their WhatsApp account.,English,OTP,WhatsApp
2827,Phishing Scam (Link Sharing),Your Axis account is at risk. Click here to verify your info: http://lalla.net,Phishing links mimic legitimate websites and trick users into submitting sensitive data.,English,Bank login credentials,WhatsApp
2828,Tax Refund Scam,Your tax refund of ₹78581 is ready. Click here to verify your info: http://wable-reddy.org,Fraudsters impersonate tax authorities and request personal details or payments to process fake refunds.,English,"Bank details, OTP",WhatsApp
2829,Fake Charity/Donation Scam,We're raising funds for flood victims in West Bengal. Please donate what you can to UPI ID: nitara24@upi,Scammers impersonate charities and request urgent donations via UPI or bank transfer.,English,Donation via UPI,WhatsApp
2830,Fake Charity/Donation Scam,We're raising funds for flood victims in Chhattisgarh. Please donate what you can to UPI ID: srinivasanbaiju@upi,Scammers impersonate charities and request urgent donations via UPI or bank transfer.,English,Donation via UPI,WhatsApp
2831,SIM Card Replacement Scam,"Hi, this is Airtel support. We're upgrading your SIM. Send your Aadhaar and OTP to continue.",The scammer initiates a SIM swap to gain control over the victim's phone number for fraud.,English,"Aadhaar, OTP",WhatsApp
2832,Fake Charity/Donation Scam,We're raising funds for flood victims in Telangana. Please donate what you can to UPI ID: aryamanikya@upi,Scammers impersonate charities and request urgent donations via UPI or bank transfer.,English,Donation via UPI,WhatsApp
2833,Fake E-commerce Scam,Get iPhone 13 for just ₹42381. DM on WhatsApp to order now. Prepay to confirm.,"Fraudsters advertise too-good-to-be-true deals, take money, and disappear or send fake products.",English,Online payment,WhatsApp
2834,Tax Refund Scam,Your tax refund of ₹5909 is ready. Click here to verify your info: http://madan.com,Fraudsters impersonate tax authorities and request personal details or payments to process fake refunds.,English,"Bank details, OTP",WhatsApp
2835,Phishing Scam (Link Sharing),Your SBI account is at risk. Click here to verify your info: http://bhatt.com,Phishing links mimic legitimate websites and trick users into submitting sensitive data.,English,Bank login credentials,WhatsApp
2836,WhatsApp Lottery/Prize Scam,"Congratulations! You've won ₹47001 in the WhatsApp Mega Draw. To claim, send your full name, bank account number, and Aadhaar to 06136366133.",Victims receive fake prize messages and are asked for personal or banking info to claim the prize.,English,"Bank details, Aadhaar card",WhatsApp
2837,Fake Charity/Donation Scam,We're raising funds for flood victims in Punjab. Please donate what you can to UPI ID: nkoshy@upi,Scammers impersonate charities and request urgent donations via UPI or bank transfer.,English,Donation via UPI,WhatsApp
2838,Fake Job Offer Scam,"Hi, this is Ranbir from HR at Chahal-Chad. You've been shortlisted for a remote role. Pay ₹700 as a registration fee.",Fraudsters pretend to be from well-known companies and ask for money upfront for fake jobs.,English,Payment for registration,WhatsApp
2839,Fake Charity/Donation Scam,We're raising funds for flood victims in Manipur. Please donate what you can to UPI ID: sara93@upi,Scammers impersonate charities and request urgent donations via UPI or bank transfer.,English,Donation via UPI,WhatsApp
2840,Fake Charity/Donation Scam,We're raising funds for flood victims in Chhattisgarh. Please donate what you can to UPI ID: laganmanda@upi,Scammers impersonate charities and request urgent donations via UPI or bank transfer.,English,Donation via UPI,WhatsApp
